nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 8,False,False,True,6 to < 12 Years Old - SOF+RBV 12 Weeks,1.0,1.0,13,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.2,39,0.8,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 8,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,0.4,0.62,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.2,39,0.2,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 12,False,False,True,12 to < 18 Years Old - SOF+RBV 12 Weeks,0.5,1.68,13,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.3,39,0.2,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 12,False,False,True,6 to < 12 Years Old - SOF+RBV 12 Weeks,0.8,0.81,13,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.3,39,0.5,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 12,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,0.7,0.68,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.3,39,0.4,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 16,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,1.1,0.93,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.4,39,0.7,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 20,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,1.6,1.15,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.5,39,1.1,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 24,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,2.1,0.88,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.8,39,1.3,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 4,False,False,True,12 to < 18 Years Old - SOF+RBV 24 Weeks,0.9,1.7,39,12 to < 18 Years Old - SOF+RBV 12 Weeks,0.5,13,0.4,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 4,False,False,True,6 to < 12 Years Old - SOF+RBV 12 Weeks,1.4,0.8,13,12 to < 18 Years Old - SOF+RBV 12 Weeks,0.5,13,0.9,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 4,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,2.6,1.17,28,12 to < 18 Years Old - SOF+RBV 12 Weeks,0.5,13,2.1,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 12,False,False,True,12 to < 18 Years Old - SOF+RBV 12 Weeks,1.4,1.65,13,12 to < 18 Years Old - SOF+RBV 24 Weeks,1.3,39,0.1,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 12,False,False,True,6 to < 12 Years Old - SOF+RBV 12 Weeks,2.4,1.02,13,12 to < 18 Years Old - SOF+RBV 24 Weeks,1.3,39,1.1,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 12,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,3.8,1.3,28,12 to < 18 Years Old - SOF+RBV 24 Weeks,1.3,39,2.5,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 24,False,False,True,12 to < 18 Years Old - SOF+RBV 24 Weeks,1.8,2.83,39,12 to < 18 Years Old - SOF+RBV 12 Weeks,1.6,13,0.2,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 24,False,False,True,6 to < 12 Years Old - SOF+RBV 12 Weeks,4.2,1.11,13,12 to < 18 Years Old - SOF+RBV 12 Weeks,1.6,13,2.6,,
NCT02175758,Hepatitis C Virus Infection,Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Infection,SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Posttreatment Week 24,False,False,True,6 to < 12 Years Old - SOF+RBV 24 Weeks,5.1,1.59,28,12 to < 18 Years Old - SOF+RBV 12 Weeks,1.6,13,3.5,,
NCT00249821,Small Gestational Age (SGA),Optimization of the Dosage Regimen of Growth Hormone Therapy in Children Born Small for Gestational Age,Saizen® ; Saizen®,active-comparator,cm,Change From Baseline in Height at Month 6,Change at Month 6,True,False,False,Saizen® 0.057 mg/kg/Day,3.6,1.31,10,Saizen® 0.035 mg/kg/Day,2.5,12,1.1,,
NCT02514473,Cystic Fibrosis,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, Homozygous for the F508del-CFTR Mutation",VX-809 ; Placebo ; VX-770,placebo,cm,Absolute Change From Baseline in Height at Week 24,,False,False,True,LUM/IVA,2.9,0.1,98,Placebo,2.6,97,0.3,,
NCT02514473,Cystic Fibrosis,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, Homozygous for the F508del-CFTR Mutation",VX-809 ; Placebo ; VX-770,placebo,Z,Absolute Change From Baseline in Height-for-age Z-score at Week 24,,False,False,True,LUM/IVA,0.03,0.02,98,Placebo,0.0,97,0.03,,
NCT02544451,Cystic Fibrosis,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With Ivacaftor,LUM/IVA ; LUM/IVA,active-comparator,cm,Absolute Change in Height,,False,False,True,PBO to LUM/IVA,13.5,,101,LUM/IVA to LUM/IVA,13.4,161,0.1,,
NCT02544451,Cystic Fibrosis,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With Ivacaftor,LUM/IVA ; LUM/IVA,active-comparator,Z,Absolute Change in Height-for-age Z-score,,False,False,True,PBO to LUM/IVA,0.02,,101,LUM/IVA to LUM/IVA,-0.01,161,0.03,,
NCT02201251,Epilepsy,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diagnosed With Epilepsy,Topiramate ; Levetiracetam,active-comparator,Z,Change From Baseline in Height Z-score up to Month 1,,False,False,True,Topiramate,0.004,0.087,27,Levetiracetam,-0.015,33,0.019,,
NCT02201251,Epilepsy,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diagnosed With Epilepsy,Topiramate ; Levetiracetam,active-comparator,Z,Change From Baseline in Height Z-score up to Month 3,,False,False,True,Levetiracetam,0.017,0.1631,34,Topiramate,-0.036,27,0.053,,
NCT02201251,Epilepsy,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diagnosed With Epilepsy,Topiramate ; Levetiracetam,active-comparator,Z,Change From Baseline in Height Z-score up to Month 6,,False,False,True,Levetiracetam,0.077,0.267,33,Topiramate,-0.008,24,0.085,,
NCT02201251,Epilepsy,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diagnosed With Epilepsy,Topiramate ; Levetiracetam,active-comparator,Z,Change From Baseline in Height Z-score up to Month 9,,False,False,True,Levetiracetam,0.086,0.2929,32,Topiramate,-0.059,24,0.145,,
NCT02201251,Epilepsy,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diagnosed With Epilepsy,Topiramate ; Levetiracetam,active-comparator,Z,Change From Baseline in Height Z-score up to Month 12,,False,False,True,Levetiracetam,0.088,0.3315,32,Topiramate,-0.057,24,0.145,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 16,,True,False,True,Part A: Liraglutide,2.113,3.084,18,Part A+B: Placebo,4.258,19,-2.145,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 16,,True,False,True,Part A: Placebo,2.718,4.281,12,Part A+B: Placebo,4.258,19,-1.54,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 16,,True,False,True,Part B: Liraglutide,4.19,2.604,16,Part A+B: Placebo,4.258,19,-0.068,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 16,,True,False,True,Part A+B: Liraglutide,3.09,3.014,34,Part A+B: Placebo,4.258,19,-1.168,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 52,,True,False,True,Part A: Liraglutide,1.564,1.285,17,Part A+B: Placebo,3.173,17,-1.609,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 52,,True,False,True,Part A: Placebo,1.839,1.658,11,Part A+B: Placebo,3.173,17,-1.334,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 52,,True,False,True,Part B: Liraglutide,4.752,2.25,14,Part A+B: Placebo,3.173,17,1.579,,
NCT02527200,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,liraglutide ; placebo,placebo,cm/yr,Height Velocity at Week 52,,True,False,True,Part A+B: Liraglutide,3.004,2.383,31,Part A+B: Placebo,3.173,17,-0.169,,
NCT01624194,Autism,Intranasal Oxytocin Treatment for Social Deficits in Children With Autism,Oxytocin nasal spray ; Placebo,placebo,cm,Change From Baseline in Height.,Week 4,False,False,False,Oxytocin Nasal Spray,134.0,,14,Placebo Nasal Spray,129.0,17,5.0,,
NCT05185622,Duchenne Muscular Dystrophy,A Study to Assess Vamorolone in Boys Ages 2 to <4 Years and 7 to <18 Years With Duchenne Muscular Dystrophy (DMD),Vamorolone,active-comparator,cm,Change in Height (Absolute) From Baseline to Week 12,,False,False,False,Treatment Group 1,1.98,1.146,10,Treatment Group 6,1.27,16,0.71,,
NCT05185622,Duchenne Muscular Dystrophy,A Study to Assess Vamorolone in Boys Ages 2 to <4 Years and 7 to <18 Years With Duchenne Muscular Dystrophy (DMD),Vamorolone,active-comparator,cm,Change in Height (Absolute) From Baseline to Week 12,,False,False,False,Treatment Group 2,2.35,0.568,10,Treatment Group 6,1.27,16,1.08,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 6 (n=1144, n=1141)",False,False,True,Topical Corticosteroids,71.3,4.76,1208,Pimecrolimus,71.3,1204,0.0,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 26 (n=1092, n=1114)",False,False,True,Pimecrolimus,77.0,4.37,1204,Topical Corticosteroids,76.9,1208,0.1,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 52 (n=999, n=1052)",False,False,True,Topical Corticosteroids,83.1,4.3,1208,Pimecrolimus,83.1,1204,0.0,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 104 (n=924, n=975)",False,False,True,Pimecrolimus,93.0,4.31,1204,Topical Corticosteroids,92.9,1208,0.1,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 156 (n=871, n=919)",False,False,True,Topical Corticosteroids,100.6,4.72,1208,Pimecrolimus,100.5,1204,0.1,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 208 (n=843, n=869)",False,False,True,Topical Corticosteroids,107.8,5.25,1208,Pimecrolimus,107.7,1204,0.1,,
NCT00120523,Atopic Dermatitis,5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Dermatitis,Pimecrolimus ; Topical corticosteroids,active-comparator,cm,Growth Velocity (Height),"Week 260 (n=833, n=871)",False,False,True,Topical Corticosteroids,114.5,5.9,1208,Pimecrolimus,114.4,1204,0.1,,
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and Adolescents With Bipolar I Disorder,placebo oral capsules ; ziprasidone oral capsules,placebo,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Height, Change at Week 4",False,False,False,Ziprasidone,0.4,0.6,86,Placebo,0.7,85,-0.3,,
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and Adolescents With Bipolar I Disorder,placebo oral capsules ; ziprasidone oral capsules,placebo,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Height, Change at Early Termination",False,False,False,Ziprasidone,0.2,0.54,86,Placebo,0.5,85,-0.3,,
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and Adolescents With Bipolar I Disorder,placebo oral capsules ; ziprasidone oral capsules,placebo,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Waist Circumference, Change at Week 4",False,False,False,Ziprasidone,-0.1,2.79,86,Placebo,0.3,85,-0.4,,
NCT02075047,Bipolar Disorder,Efficacy and Safety Trial of Flexible Doses of Oral Ziprasidone in Children and Adolescents With Bipolar I Disorder,placebo oral capsules ; ziprasidone oral capsules,placebo,cm,Change From Baseline in Height and Waist Circumference at Week 4 and Early Termination Visit,"Waist Circumference, Change at Early Termination",False,False,False,Ziprasidone,0.4,3.77,86,Placebo,1.0,85,-0.6,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,"Height Velocity (HV) (cm/Year) During the First 26 Weeks of Treatment, Measured as Standing Height With Stadiometer",,True,True,True,Cohort I - Norditropin 0.034 mg/kg,11.35,3.27,14,Cohort I - Somapacitan 0.04 mg/kg,7.96,14,3.39,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,"Height Velocity (HV) (cm/Year) During the First 26 Weeks of Treatment, Measured as Standing Height With Stadiometer",,True,True,True,Cohort I - Somapacitan 0.08 mg/kg,10.92,1.9,15,Cohort I - Somapacitan 0.04 mg/kg,7.96,14,2.96,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,"Height Velocity (HV) (cm/Year) During the First 26 Weeks of Treatment, Measured as Standing Height With Stadiometer",,True,True,True,Cohort I - Somapcitan 0.16 mg/kg,12.88,3.46,14,Cohort I - Somapacitan 0.04 mg/kg,7.96,14,4.92,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,Height Velocity (HV) (cm/Year) at Weeks 52 (Derived From Standing Height),,True,True,True,Cohort I - Norditropin 0.034 mg/kg,9.8,2.3,14,Cohort I - Somapacitan 0.04 mg/kg,7.8,14,2.0,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,Height Velocity (HV) (cm/Year) at Weeks 52 (Derived From Standing Height),,True,True,True,Cohort I - Somapacitan 0.08 mg/kg,9.7,1.8,15,Cohort I - Somapacitan 0.04 mg/kg,7.8,14,1.9,,
NCT02616562,Growth Hormone Disorder ; Growth Hormone Deficiency in Children,Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treatment (Norditropin® FlexPro®) in Growth Hormone Treatment naïve Pre-pubertal Children With Growth Hormone Deficiency,somapacitan ; Norditropin® FlexPro® pen,active-comparator,cm/yr,Height Velocity (HV) (cm/Year) at Weeks 52 (Derived From Standing Height),,True,True,True,Cohort I - Somapcitan 0.16 mg/kg,11.5,2.6,14,Cohort I - Somapacitan 0.04 mg/kg,7.8,14,3.7,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 24,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,2.0,0.4,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,2.8,49,-0.8,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 24,False,False,False,HoFH: Evolocumab 420 mg QM,1.6,1.1,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,2.8,49,-1.2,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 48,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,2.8,0.5,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,4.2,49,-1.4,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 48,False,False,False,HoFH: Evolocumab 420 mg QM,1.4,2.4,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,4.2,49,-2.8,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 80,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,3.4,0.7,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,4.0,49,-0.6,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Females: Change at week 80,False,False,False,HoFH: Evolocumab 420 mg QM,2.4,3.9,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,4.0,49,-1.6,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 24,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,3.8,0.5,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,3.4,49,0.4,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 24,False,False,False,HoFH: Evolocumab 420 mg QM,3.8,0.8,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,3.4,49,0.4,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 48,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,6.2,0.7,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,6.2,49,0.0,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 48,False,False,False,HoFH: Evolocumab 420 mg QM,5.3,1.2,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,6.2,49,-0.9,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 80,False,False,False,HeFH (Evolocumab in Parent Study): Evolocumab 420 mg QM,9.0,1.1,101,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,9.3,49,-0.3,,
NCT02624869,Familial Hypercholesterolemia,"Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Cholesterol (Familial Hypercholesterolemia)",Evolocumab,placebo,cm,"Change From Baseline in Height at Weeks 24, 48, and 80",Males: Change at week 80,False,False,False,HoFH: Evolocumab 420 mg QM,9.2,1.6,12,HeFH (Placebo in Parent Study): Evolocumab 420 mg QM,9.3,49,-0.1,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in Main Study Phase,,True,True,True,MOD-4023,10.1,,109,Genotropin,9.78,115,0.32,,
NCT02968004,Pediatric Growth Hormone Deficiency,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children,MOD-4023 ; Somatropin,active-comparator,cm/yr,Annual Height Velocity in OLE Phase,OLE Month 0,True,True,True,MOD-4023,10.27,2.38,104,Genotropin,9.72,108,0.55,,
